id,tag_name,created_at
1,sunset,"2023-08-25 18:45:37"
2,photography,"2023-08-25 18:45:37"
3,sunrise,"2023-08-25 18:45:37"
4,landscape,"2023-08-25 18:45:37"
5,food,"2023-08-25 18:45:37"
6,foodie,"2023-08-25 18:45:37"
7,delicious,"2023-08-25 18:45:37"
8,beauty,"2023-08-25 18:45:37"
9,stunning,"2023-08-25 18:45:37"
10,dreamy,"2023-08-25 18:45:37"
11,lol,"2023-08-25 18:45:37"
12,happy,"2023-08-25 18:45:37"
13,fun,"2023-08-25 18:45:37"
14,style,"2023-08-25 18:45:37"
15,hair,"2023-08-25 18:45:37"
16,fashion,"2023-08-25 18:45:37"
17,party,"2023-08-25 18:45:37"
18,concert,"2023-08-25 18:45:37"
19,drunk,"2023-08-25 18:45:37"
20,beach,"2023-08-25 18:45:37"
21,smile,"2023-08-25 18:45:37"
